calories;proteins;fat;carbohydrate;name
116;10.7;7;1.6;Telur burung puyuh segar
144;12;10.2;0;Telur Penyu
425;31;28;10;Telur Terubuk
119;4.4;3.5;18.3;Tempe bongkrek
73;5.7;1.3;4.2;Tempe Gembus
76;6.8;0.7;10.6;Tempe gembus yogya
328;18.4;23.2;12.8;Tempe Goreng 
139;12.5;0.8;21.9;Tempe kacang babi
212;17.5;10;12.9;Tempe kacang belimbing
143;12;5.5;11.4;Tempe kedelai + jagung
350;24.5;26.6;10.4;Tempe kedelai murni goreng
201;20.8;8.8;13.5;Tempe kedelai murni mentah
141;10.2;1.3;23.2;Tempe koro benguk
146;11.7;2.3;19.6;Tempe lamtoro var. gung dengan kulit
131;18;0.8;13;Tempe lamtoro var. gung tanpa kulit
150;14;7.7;9.1;Tempe pasar segar
336;20;28;7.8;Tempe pasar goreng
240;6;2.7;49.3;Tempe Sayur 
110;1.7;1.3;21.9;Tempoya
126;1.1;2.2;25.7;Tempuyak
355;0.7;0.2;85.2;Tepung Arrowroot
364;7;0.5;80;Tepung Beras
353;7;0.5;80;Tepung beras mentah
353;0.8;1.7;83.6;Tepung Ganyong
363;1.1;0.5;88.2;Tepung Gaplek
355;0.7;0.2;85.2;Tepung Garut (arrowroot)
364;4.5;1;83.5;Tepung Hunkwee
316;60.1;6.5;22.4;Tepung Ikan
355;9.2;3.9;73.7;Tepung Jagung Kuning
355;9.2;3.9;73.7;Tepung jagung putih
388;19;7.5;61.2;Tepung Jalejo
347;35.9;20.6;29.9;Tepung Kacang Kedelai
347;0.3;0.1;85.6;Tepung Kentang
350;1.2;0.6;85;Tepung Mocaf
338;2.9;0.4;80.6;Tepung Pisang
353;0.7;0.2;84.7;Tepung Sagu
326;4;0.4;76.7;Tepung Sente
363;1.1;0.5;88.2;Tepung singkong/ Tapioka
353;2.9;0.5;84.4;Tepung Sukun
509;24.6;30;36.2;Tepung Susu
418;19;9;65.5;Tepung Susu Asam untuk bayi
362;35.6;1;52;Tepung Susu Skim
332;5.7;0.6;76.1;Tepung Tales Beneng
365;8.9;1.3;77.3;Tepung Terigu
354;2.8;0.6;84.4;Tepung Ubi Ungu
155;22.3;2.9;9.9;Terasi
191;33.1;3.6;6.6;Terasi dobo
174;30;3.5;3.5;Terasi Merah
174;30;3.5;5.6;Terasi merah
365;23.7;22.3;17.5;Teri balado masakan
462;39.1;32.4;3.5;Teripang dendeng mentah
24;1.1;0.2;5.5;Terong
285;4.3;25.7;9.5;Terong + Oncom makanan
39;2.3;1.9;2;Terong Asam
48;1.5;0.3;11.3;Terong Belanda
45;1.9;0.8;7.5;Terong hintalo segar
23;1.8;0.1;4.9;Terong kukus
28;1.1;0.2;5.5;Terong segar
52;2.1;1.1;8.6;Terung belanda segar
52;1.1;0.4;11.2;Terung bengkulu segar
25;2.1;0.1;5.3;Terung panjang
23;1.8;0.1;4.9;Terung panjang kukus
59;2.9;0.3;13.9;Tespong daun
120;2.4;0.4;26;Tim (nasi tim)
33;1.2;1.3;4.1;Tinira ninahu nggaluku
516;17.7;49.5;0;Tinoransak masakan
355;6.2;1.2;79.8;Tipa-tipa
353;2.4;1.1;83.4;Tiwul  
395;3.2;8.5;76.5;Tiwul Instan
392;5.4;28.5;28.4;Toge -Tahu makanan
93.6;4.4;1.8;15.1;Toge Goreng 
23;2.9;0.2;4.1;Toge kacang ijo
35;5;0.2;5.8;Toge kacang tunggak
67;9;2.6;6.4;Toge kedelai
28;3;0.8;4;Toge seduh
20;1;0.2;3.5;Tomat air (juice) segar
20;1;0.3;4.2;Tomat Masak
24;1.3;0.5;4.7;Tomat merah segar
24;2;0.7;3.3;Tomat muda segar
189;11.3;15.7;0.6;Tumis bandeng
48;1.4;4.2;2.6;Tumis bayam bersantan
186;1.9;0.2;44.3;Ubi Cilembu
160;3.7;1.3;55.3;Ubi Jalar Goreng 
100;0.7;0.3;23.8;Ubi jalar kuning kukus
119;0.5;0.4;25.1;Ubi jalar kuning segar
83;1.5;0.2;18.8;Ubi jalar manis segar
123;1.8;0.7;27.9;Ubi Jalar Merah
151;1.6;0.3;35.4;Ubi jalar merah segar
123;1.8;0.7;27.9;Ubi Jalar Putih
114;1.4;9.6;25.6;Ubi Jalar Rebus
184;1.4;0.3;22.5;Ubi Jalar Sayur
108;0.5;0.4;25.6;Ubi jalar tinta/ kemayung
165;0.9;0.2;39.8;Ubi jalar tinta/ kemayung kukus
82;5.8;1.3;11.7;Uceng/ bunga melinjo segar
56;11.4;0.6;1.2;Udang besar segar
81;16.5;0.3;3;Udang galah segar
295;62.4;2.3;1.8;Udang kering
278;62.6;4.1;2.2;Udang kering mentah
273;47.8;3.8;12.5;Udang papay mentah
91;21;0.2;0.1;Udang segar
380;11.9;30.3;14.9;Ulat sagu panggang
241;5.8;21.6;5.8;Ulat sagu segar
120;2.8;0.5;82.3;Umbi Uwi segar
34;2.4;0.3;5.5;Umbut rotan
130;14;7.2;1.5;Usus Sapi
101;2;0.2;19.8;Uwi
363;8.7;0.4;78.7;Vermicelli
303;6.3;2.7;63.3;Wajit camilan
45;0.8;0.9;8.1;Waluh balamak
424;1.3;10.7;80.7;Widaran
568;19.3;51.1;18.1;Wijen
355;3.2;15.1;51.4;Wingko babat
143;3.1;7.8;15;Woku ubi
452;14.5;42.3;2.3;Worst (sosis daging)
42;1.2;0.6;9.3;Wortel Segar
37;1;0.6;8.3;Wortel kukus
28;0.7;0.5;6.3;Wortel rebus
254;3;1.1;58.1;Yangko
52;3.3;2.5;4;Yoghurt
