calories;proteins;fat;carbohydrate;name
75;16.1;0.7;0.1;Cumi-cumi segar
190;19.1;12;0;Daging Anak Sapi
191;32;6;0;Daging Asap
457;11.6;45;0;Daging Babi Gemuk
376;14.1;35;0;Daging Babi Kurus
206;17.1;14.8;0;Daging Domba
154;16.6;9.2;0;Daging Kambing
84;18.7;0.5;0;Daging Kerbau
118;18.1;4.1;0.9;Daging Kuda
207;18.8;14;0;Daging Sapi
27;1.3;0.6;4;Daun bangun-bangun segar
29;1.8;0.7;5.2;Daun Bawang
41;2;0.3;7.8;Daun bawang  merah segar
41;2.7;1;7.3;Daun bebuas segar
50;4.4;1.4;7.8;Daun belem segar
42;1.8;0.5;9.4;Daun Beluntas
122;6;1;26;Daun Cincau
60;3.1;0.3;14;Daun Gandaria
58;2.9;0.7;10;Daun gedi besar segar
30;1.3;0.7;5.8;Daun gelang segar
50;4.6;0.9;7;Daun gunda bali segar
62;4.2;0.9;9.2;Daun gunda serang segar
73;4.6;0.5;16.2;Daun Jambu Mete muda
34;3.8;0.5;5.3;Daun jampang segar
93;5;1.3;15.3;Daun jawaw seluang segar
27;2.1;0.7;4.4;Daun jonghe segar
36;2.9;0.6;6.8;Daun kacang ma segar
34;4.1;0.4;5.8;Daun Kacang Panjang
40;3.7;0.3;8;Daun Kacang Panjang kukus
30;3.1;0.3;5.8;Daun kacang panjang segar
92;4;3.6;10.9;Daun kasbi/singkong karet segar
59;4.8;1;11;Daun Katuk
53;5.3;0.9;9.1;Daun katuk rebus
59;6.4;1;9.9;Daun katuk segar
47;5;0.5;8.5;Daun Kecipir
59;2.8;0.3;13.4;Daun Kedondong
82;6.7;1.7;14.3;Daun Kelor
61;6.1;0.9;10;Daun Kelor rebus
46;4;0.5;8.9;Daun Kemangi
45;3.7;0.5;6.6;Daun kenikir segar
48;4.5;0.8;9.1;Daun kesum segar
22;2.1;0.5;3.6;Daun kol sawi segar
23;3;0.3;3.7;Daun Koro
51;2.5;1.1;8;Daun kubis segar
14;1.3;0.3;2.3;Daun Kumak
60;4;0.4;4.7;Daun Labu Siam
30;3.6;0.6;4.5;Daun Labu Waluh
87;8.3;1.8;14.4;Daun lamtoro segar
76;2.8;0.2;15.8;Daun leilem segar
45;4.7;0.5;8.1;Daun Leunca
30;2.3;0.4;5.8;Daun Lobak
40;3;0.8;7.4;Daun Lompong Tales
54;3.7;0.3;11.8;Daun Mangkokan
71;6.8;1.6;11.5;Daun matel ambon segar
99;5;1.3;21.3;Daun Melinjo
63;3.8;1.5;11.5;Daun Mengkudu Kukus
166;1.7;0.5;38.8;Daun ndusuk segar
22;1;0.1;5.3;Daun Oyong
22;1;0.1;5.3;Daun oyong segar
35;4;0.3;6.4;Daun Pakis
54;2.2;3.6;3.1;Daun pakis longgiho segar
39;4.5;0.4;6.9;Daun pakis segar
53;3.4;1.2;7.2;Daun pakis wambateu segar
29;3.4;0.1;6.5;Daun paku segar
104;3.9;0.6;17.9;Daun pangisegar
49;2.7;1;8.4;Daun pare segar
87;8;2;11.9;Daun pepaya segar
128;12;6.5;12.4;Daun Pete Cina
37;2.5;0.8;6.9;Daun Poh-pohan
301;14.2;10.9;49;Daun salam  bubuk
62;4;0.5;10.5;Daun selasih segar
45;4.4;8;0.5;Daun Semanggi
45;4.4;0.5;8.5;Daun semanggi segar
53;3.2;2.5;7.6;Daun simpur segar
68;2;1;15.2;Daun singkil segar
73;6.8;1.2;13;Daun Singkong
144;12.7;1.2;25.2;Daun singkong ambon segar
50;6.2;1.1;7.1;Daun singkong ampenan segar
74;6.3;0.7;10.7;Daun singkong kopang segar
55;4;0.5;8.5;Daun Singkong lodeh
31;3.7;0.6;4.8;Daun Singkong rebus
50;6.2;1.1;7.1;Daun singkong segar
36;2.6;0.9;6.1;Daun Sintrong
27;1.3;0.2;5.9;Daun talas rebus
59;3;0.4;13.5;Daun talas segar
71;4.1;2.1;12.3;Daun Tales
27;1.3;0.2;5.9;Daun Tales rebus
70;2.9;0.3;13.9;Daun tespong segar
47;2.8;0.4;10.4;Daun Ubi Jalar
56;3.1;0.3;13;Daun Ubi Jalar kukus
62;3.7;0.3;11.1;Daun ubi kuning segar
56;3.1;0.3;13;Daun ubi merah kukus
48;3;0.3;10.8;Daun ubi merah segar
46;2.8;0.2;8.2;Daun ubi putih segar
55;1.7;0.1;11.9;Daun ubi tinta segar
260;2;15;53;Deblo 
382;55.7;14.1;8;Dendeng belut goreng
433;55;9;0;Dendeng Daging Sapi
598;74.3;26.9;9.2;Dendeng mujahir goreng
77;13.8;1.9;0.7;Dideh darah ayam
104;21.9;1.1;0;Dideh darah sapi
248;10;2.3;40.9;Djibokum masakan
395;3;5.7;81.2;Dodol
298;3.7;2.1;65.9;Dodol bali
368;2.6;8.6;70;Dodol banjarmasin
348;0.4;3.8;76.1;Dodol galamai
331;1.9;7.6;63.8;Dodol kedondong
373;4.3;16.5;51.9;Dodol manado
17.5;3.3;2.3;39.5;Dodonkol 
317;15.7;27.7;0;Domba daging gemuk segar
202;17.1;14.8;0;Domba daging kurus  segar
100;16.6;3.3;1;Domba ginjal segar
63;1;0.2;16.1;Duku
134;2.5;3;28;Durian
80;0.5;0.6;18.2;Duwet segar
18;1;0.2;3.8;Eceng Gondok
98;1.4;0.2;25.4;Embacang
248;36.2;6.9;10.1;Empal (daging) Goreng masakan
590;18.5;57;0;Empal Goreng
345;12;1.5;71.5;Emping (kerupuk melinjo)
403;10.6;2.2;85.3;Emping beras
355;17.8;4.6;60.7;Emping komak
122;3.5;4.5;17.5;Encung asam segar
538;13.6;30.3;52.6;Enting-enting gepuk hello kity
524;13.3;29.2;52;Enting-enting gepuk kacang tanah
565;18.2;38.4;36.8;Enting-enting wijen
70;0.6;0;18.9;Erbis
210;4;12.5;20.6;Es krim
156.7;3;1.7;32.7;Es Krim (Coconut milk) 
152;0;0;37.6;Es Mambo 
44.8;0;0;11.3;Es Sirup 
270;12.3;15.9;19.3;Fillet o-fish
322;2.4;0.6;76.6;Gadeng/Gadung kering
137;6.1;3.2;21;Gado-gado
88;0.8;0.3;20.9;Gadung kukus
101;2.1;0.2;23.2;Gadung mentah
88;0.6;0.3;20.9;Gadung ubi kukus
100;0.9;0.3;23.5;Gadung ubi segar
18;0.8;0.2;4.1;Gambas (Oyong)
13;0.3;0.6;1.6;Gambas lodeh
68;0.7;0.1;18;Gandaria
100;0.8;0.2;23.8;Ganyong kukus
95;1;0.1;22.6;Ganyong mentah
100;0.8;0.2;23.8;Ganyong rebus
77;0.6;0.2;18.4;Ganyong segar
338;1.5;0.7;81.3;Gaplek
191;4.5;1.5;39.7;Gatep segar
347;1.3;0.7;83.8;Gatot
195;0.4;1.7;44.4;Geblek
389;0;0;91;Gelatine
95;1.5;0.1;22.4;Gembili
131;1.1;0.2;31.3;Gembili ubi segar
274;1.7;5.4;55.5;Gemblong
407;6.4;28.2;32;Gendar goreng
35;1.7;0.2;7.7;Genjer segar
350;1.4;14.4;53.6;Geplak
462;3.1;24.4;57.7;Geplak jahe
75;8.2;2;6;Gete kuah asam masakan
360;1.3;6.4;74.3;Getuk goreng
171.4;4;4;32;Getuk Lindri 
144;1.1;0.4;34.1;Getuk pisang
204;0.5;1.4;47.4;Getuk singkong
114;16.3;4.6;0.8;Ginjal Babi
105;16.6;3.3;1;Ginjal Domba
141;15;8.1;0.9;Ginjal Sapi
53;1.6;1.6;8.8;Gudeg 
160;3.3;9.2;16;Gudeg sayur
368;0;0;95;Gula Aren
386;3;10;76;Gula Kelapa
356;0.4;0.5;90.6;Gula Merah Tebu belum dimurnikan
394;0;0;94;Gula putih
52;10;0.5;1.8;Gulai asam keueung masakan
106;16.5;3.3;2.5;Gulai ikan masakan
148;10;9.8;5;Gulai ikan paya masakan
126;4.2;9.4;6.2;Gulai kambing
